Sentence #,text,tag
24,LONDON,B-LOC
24,1996-08-22,O
25,A,O
25,rare,O
25,early,O
25,handwritten,O
25,draft,O
25,of,O
25,a,O
25,song,O
25,by,O
25,U.S.,B-LOC
25,guitar,O
25,legend,O
25,Jimi,B-PER
25,Hendrix,I-PER
25,was,O
25,sold,O
25,for,O
25,almost,O
25,$,O
25,"17,000",O
25,on,O
25,Thursday,O
25,at,O
25,an,O
25,auction,O
25,of,O
25,some,O
25,of,O
25,the,O
25,late,O
25,musician,O
25,'s,O
25,favourite,O
25,possessions,O
25,.,O
26,A,O
26,Florida,B-LOC
26,restaurant,O
26,paid,O
26,"10,925",O
26,pounds,O
26,(,O
26,$,O
26,"16,935",O
26,),O
26,for,O
26,the,O
26,draft,O
26,of,O
26,"""",O
26,Ai,B-MISC
26,n't,I-MISC
26,no,I-MISC
26,telling,I-MISC
26,"""",O
26,",",O
26,which,O
26,Hendrix,B-PER
26,penned,O
26,on,O
26,a,O
26,piece,O
26,of,O
26,London,B-LOC
26,hotel,O
26,stationery,O
26,in,O
26,late,O
26,1966,O
26,.,O
27,At,O
27,the,O
27,end,O
27,of,O
27,a,O
27,January,O
27,1967,O
27,concert,O
27,in,O
27,the,O
27,English,B-MISC
27,city,O
27,of,O
27,Nottingham,B-LOC
27,he,O
27,threw,O
27,the,O
27,sheet,O
27,of,O
27,paper,O
27,into,O
27,the,O
27,audience,O
27,",",O
27,where,O
27,it,O
27,was,O
27,retrieved,O
27,by,O
27,a,O
27,fan,O
27,.,O
28,Buyers,O
28,also,O
28,snapped,O
28,up,O
28,16,O
28,other,O
28,items,O
28,that,O
28,were,O
28,put,O
28,up,O
28,for,O
28,auction,O
28,by,O
28,Hendrix,B-PER
28,'s,O
28,former,O
28,girlfriend,O
28,Kathy,B-PER
28,Etchingham,I-PER
28,",",O
28,who,O
28,lived,O
28,with,O
28,him,O
28,from,O
28,1966,O
28,to,O
28,1969,O
28,.,O
29,They,O
29,included,O
29,a,O
29,black,O
29,lacquer,O
29,and,O
29,mother,O
29,of,O
29,pearl,O
29,inlaid,O
29,box,O
29,used,O
29,by,O
29,Hendrix,B-PER
29,to,O
29,store,O
29,his,O
29,drugs,O
29,",",O
29,which,O
29,an,O
29,anonymous,O
29,Australian,B-MISC
29,purchaser,O
29,bought,O
29,for,O
29,"5,060",O
29,pounds,O
29,(,O
29,$,O
29,"7,845",O
29,),O
29,.,O
30,The,O
30,guitarist,O
30,died,O
30,of,O
30,a,O
30,drugs,O
30,overdose,O
30,in,O
30,1970,O
30,aged,O
30,27,O
30,.,O
31,-DOCSTART-,O
32,China,B-LOC
32,says,O
32,Taiwan,B-LOC
32,spoils,O
32,atmosphere,O
32,for,O
32,talks,O
32,.,O
33,BEIJING,B-LOC
33,1996-08-22,O
34,China,B-LOC
34,on,O
34,Thursday,O
34,accused,O
34,Taipei,B-LOC
34,of,O
34,spoiling,O
34,the,O
34,atmosphere,O
34,for,O
34,a,O
34,resumption,O
34,of,O
34,talks,O
34,across,O
34,the,O
34,Taiwan,B-LOC
34,Strait,I-LOC
34,with,O
34,a,O
34,visit,O
34,to,O
34,Ukraine,B-LOC
34,by,O
34,Taiwanese,B-MISC
34,Vice,O
34,President,O
34,Lien,B-PER
34,Chan,I-PER
34,this,O
34,week,O
34,that,O
34,infuriated,O
34,Beijing,B-LOC
34,.,O
35,Speaking,O
35,only,O
35,hours,O
35,after,O
35,Chinese,B-MISC
35,state,O
35,media,O
35,said,O
35,the,O
35,time,O
35,was,O
35,right,O
35,to,O
35,engage,O
35,in,O
35,political,O
35,talks,O
35,with,O
35,Taiwan,B-LOC
35,",",O
35,Foreign,B-ORG
35,Ministry,I-ORG
35,spokesman,O
35,Shen,B-PER
35,Guofang,I-PER
35,told,O
35,Reuters,B-ORG
35,:,O
35,"""",O
35,The,O
35,necessary,O
35,atmosphere,O
35,for,O
35,the,O
35,opening,O
35,of,O
35,the,O
35,talks,O
35,has,O
35,been,O
35,disrupted,O
35,by,O
35,the,O
35,Taiwan,B-LOC
35,authorities,O
35,.,O
35,"""",O
36,State,O
36,media,O
36,quoted,O
36,China,B-LOC
36,'s,O
36,top,O
36,negotiator,O
36,with,O
36,Taipei,B-LOC
36,",",O
36,Tang,B-PER
36,Shubei,I-PER
36,",",O
36,as,O
36,telling,O
36,a,O
36,visiting,O
36,group,O
36,from,O
36,Taiwan,B-LOC
36,on,O
36,Wednesday,O
36,that,O
36,it,O
36,was,O
36,time,O
36,for,O
36,the,O
36,rivals,O
36,to,O
36,hold,O
36,political,O
36,talks,O
36,.,O
37,"""",O
37,Now,O
37,is,O
37,the,O
37,time,O
37,for,O
37,the,O
37,two,O
37,sides,O
37,to,O
37,engage,O
37,in,O
37,political,O
37,talks,O
37,...,O
38,that,O
38,is,O
38,to,O
38,end,O
38,the,O
38,state,O
38,of,O
38,hostility,O
38,",",O
38,"""",O
38,Thursday,O
38,'s,O
38,overseas,O
38,edition,O
38,of,O
38,the,O
38,People,B-ORG
38,'s,I-ORG
38,Daily,I-ORG
38,quoted,O
38,Tang,B-PER
38,as,O
38,saying,O
38,.,O
39,The,O
39,foreign,O
39,ministry,O
39,'s,O
39,Shen,B-ORG
39,told,O
39,Reuters,B-ORG
39,Television,I-ORG
39,in,O
39,an,O
39,interview,O
39,he,O
39,had,O
39,read,O
39,reports,O
39,of,O
39,Tang,B-PER
39,'s,O
39,comments,O
39,but,O
39,gave,O
39,no,O
39,details,O
39,of,O
39,why,O
39,the,O
39,negotiator,O
39,had,O
39,considered,O
39,the,O
39,time,O
39,right,O
39,for,O
39,talks,O
39,with,O
39,Taiwan,B-LOC
39,",",O
39,which,O
39,Beijing,B-LOC
39,considers,O
39,a,O
39,renegade,O
39,province,O
39,.,O
40,China,B-LOC
40,",",O
40,which,O
40,has,O
40,long,O
40,opposed,O
40,all,O
40,Taipei,B-LOC
40,efforts,O
40,to,O
40,gain,O
40,greater,O
40,international,O
40,recognition,O
40,",",O
40,was,O
40,infuriated,O
40,by,O
40,a,O
40,visit,O
40,to,O
40,Ukraine,B-LOC
40,this,O
40,week,O
40,by,O
40,Taiwanese,B-MISC
40,Vice,O
40,President,O
40,Lien,B-PER
40,.,O
41,-DOCSTART-,O
42,China,B-LOC
42,says,O
42,time,O
42,right,O
42,for,O
42,Taiwan,B-LOC
42,talks,O
42,.,O
43,BEIJING,B-LOC
43,1996-08-22,O
44,China,B-LOC
44,has,O
44,said,O
44,it,O
44,was,O
44,time,O
44,for,O
44,political,O
44,talks,O
44,with,O
44,Taiwan,B-LOC
44,and,O
44,that,O
44,the,O
44,rival,O
44,island,O
44,should,O
44,take,O
44,practical,O
44,steps,O
44,towards,O
44,that,O
44,goal,O
44,.,O
45,Consultations,O
45,should,O
45,be,O
45,held,O
45,to,O
45,set,O
45,the,O
45,time,O
45,and,O
45,format,O
45,of,O
45,the,O
45,talks,O
45,",",O
45,the,O
45,official,O
45,Xinhua,B-ORG
45,news,O
45,agency,O
45,quoted,O
45,Tang,B-PER
45,Shubei,I-PER
45,",",O
45,executive,O
45,vice,O
45,chairman,O
45,of,O
45,the,O
45,Association,B-ORG
45,for,I-ORG
45,Relations,I-ORG
45,Across,I-ORG
45,the,I-ORG
45,Taiwan,I-ORG
45,Straits,I-ORG
45,",",O
45,as,O
45,saying,O
45,late,O
45,on,O
45,Wednesday,O
45,.,O
46,-DOCSTART-,O
47,German,B-MISC
47,July,O
47,car,O
47,registrations,O
47,up,O
47,14.2,O
47,pct,O
47,yr,O
47,/,O
47,yr,O
47,.,O
48,FRANKFURT,B-LOC
48,1996-08-22,O
49,German,B-MISC
49,first-time,O
49,registrations,O
49,of,O
49,motor,O
49,vehicles,O
49,jumped,O
49,14.2,O
49,percent,O
49,in,O
49,July,O
49,this,O
49,year,O
49,from,O
49,the,O
49,year-earlier,O
49,period,O
49,",",O
49,the,O
49,Federal,B-ORG
49,office,I-ORG
49,for,I-ORG
49,motor,I-ORG
49,vehicles,I-ORG
49,said,O
49,on,O
49,Thursday,O
49,.,O
50,The,O
50,office,O
50,said,O
50,"356,725",O
50,new,O
50,cars,O
50,were,O
50,registered,O
50,in,O
50,July,O
50,1996,O
50,--,O
50,"304,850",O
50,passenger,O
50,cars,O
50,and,O
50,"15,613",O
50,trucks,O
50,.,O
51,The,O
51,figures,O
51,represent,O
51,a,O
51,13.6,O
51,percent,O
51,increase,O
51,for,O
51,passenger,O
51,cars,O
51,and,O
51,a,O
51,2.2,O
51,percent,O
51,decline,O
51,for,O
51,trucks,O
51,from,O
51,July,O
51,1995,O
51,.,O
52,Motor-bike,O
52,registration,O
52,rose,O
52,32.7,O
52,percent,O
52,in,O
52,the,O
52,period,O
52,.,O
53,The,O
53,growth,O
53,was,O
53,partly,O
53,due,O
53,to,O
53,an,O
53,increased,O
53,number,O
53,of,O
53,Germans,B-MISC
53,buying,O
53,German,B-MISC
53,cars,O
53,abroad,O
53,",",O
53,while,O
53,manufacturers,O
53,said,O
53,that,O
53,domestic,O
53,demand,O
53,was,O
53,weak,O
53,",",O
53,the,O
53,federal,O
53,office,O
53,said,O
53,.,O
54,Almost,O
54,all,O
54,German,B-MISC
54,car,O
54,manufacturers,O
54,posted,O
54,gains,O
54,in,O
54,registration,O
54,numbers,O
54,in,O
54,the,O
54,period,O
54,.,O
55,Volkswagen,B-ORG
55,AG,I-ORG
55,won,O
55,"77,719",O
55,registrations,O
55,",",O
55,slightly,O
55,more,O
55,than,O
55,a,O
55,quarter,O
55,of,O
55,the,O
55,total,O
55,.,O
56,Opel,B-ORG
56,AG,I-ORG
56,together,O
56,with,O
56,General,B-ORG
56,Motors,I-ORG
56,came,O
56,in,O
56,second,O
56,place,O
56,with,O
56,"49,269",O
56,registrations,O
56,",",O
56,16.4,O
56,percent,O
56,of,O
56,the,O
56,overall,O
56,figure,O
56,.,O
57,Third,O
57,was,O
57,Ford,B-ORG
57,with,O
57,"35,563",O
57,registrations,O
57,",",O
57,or,O
57,11.7,O
57,percent,O
57,.,O
58,Only,O
58,Seat,B-ORG
58,and,O
58,Porsche,B-ORG
58,had,O
58,fewer,O
58,registrations,O
58,in,O
58,July,O
58,1996,O
58,compared,O
58,to,O
58,last,O
58,year,O
58,'s,O
58,July,O
58,.,O
59,Seat,B-ORG
59,posted,O
59,"3,420",O
59,registrations,O
59,compared,O
59,with,O
59,5522,O
59,registrations,O
59,in,O
59,July,O
59,a,O
59,year,O
59,earlier,O
59,.,O
60,Porsche,B-ORG
60,'s,O
60,registrations,O
60,fell,O
60,to,O
60,554,O
60,from,O
60,643,O
60,.,O
61,-DOCSTART-,O
62,GREEK,B-MISC
62,SOCIALISTS,O
62,GIVE,O
62,GREEN,O
62,LIGHT,O
62,TO,O
62,PM,O
62,FOR,O
62,ELECTIONS,O
62,.,O
63,ATHENS,B-LOC
63,1996-08-22,O
64,The,O
64,Greek,B-MISC
64,socialist,O
64,party,O
64,'s,O
64,executive,O
64,bureau,O
64,gave,O
64,the,O
64,green,O
64,light,O
64,to,O
64,Prime,O
64,Minister,O
64,Costas,B-PER
64,Simitis,I-PER
64,to,O
64,call,O
64,snap,O
64,elections,O
64,",",O
64,its,O
64,general,O
64,secretary,O
64,Costas,B-PER
64,Skandalidis,I-PER
64,told,O
64,reporters,O
64,.,O
65,Prime,O
65,Minister,O
65,Costas,B-PER
65,Simitis,I-PER
65,is,O
65,going,O
65,to,O
65,make,O
65,an,O
65,official,O
65,announcement,O
65,after,O
65,a,O
65,cabinet,O
65,meeting,O
65,later,O
65,on,O
65,Thursday,O
65,",",O
65,said,O
65,Skandalidis,B-PER
65,.,O
66,--,O
66,Dimitris,B-PER
66,Kontogiannis,I-PER
66,",",O
66,Athens,B-ORG
66,Newsroom,I-ORG
66,+301,O
66,3311812-4,O
67,-DOCSTART-,O
68,BayerVB,B-ORG
68,sets,O
68,C$,B-MISC
68,100,O
68,million,O
68,six-year,O
68,bond,O
68,.,O
69,LONDON,B-LOC
69,1996-08-22,O
70,The,O
70,following,O
70,bond,O
70,was,O
70,announced,O
70,by,O
70,lead,O
70,manager,O
70,Toronto,B-PER
70,Dominion,I-PER
70,.,O
71,BORROWER,O
71,BAYERISCHE,B-ORG
71,VEREINSBANK,I-ORG
72,AMT,O
72,C$,B-MISC
72,100,O
72,MLN,O
72,COUPON,O
72,6.625,O
72,MATURITY,O
72,24.SEP.02,O
73,TYPE,O
73,STRAIGHT,O
73,ISS,O
73,PRICE,O
73,100.92,O
73,PAY,O
73,DATE,O
73,24.SEP.96,O
74,FULL,O
74,FEES,O
74,1.875,O
74,REOFFER,O
74,99.32,O
74,SPREAD,O
74,+20,O
74,BP,O
75,MOODY,O
75,AA1,O
75,LISTING,O
75,LUX,O
75,PAY,O
75,FREQ,O
75,=,O
76,S&P,B-ORG
76,=,O
76,DENOMS,O
76,(,O
76,K,O
76,),O
76,1-10-100,O
76,SALE,O
76,LIMITS,O
76,US,B-LOC
76,/,O
76,UK,B-LOC
76,/,O
76,CA,B-LOC
77,NEG,O
77,PLG,O
77,NO,O
77,CRS,O
77,DEFLT,O
77,NO,O
77,FORCE,O
77,MAJ,O
77,=,O
78,GOV,O
78,LAW,O
78,GERMAN,B-MISC
78,HOME,O
78,CTRY,O
78,=,O
78,TAX,O
78,PROVS,O
78,STANDARD,O
79,MGT,O
79,/,O
79,UND,O
79,0.275,O
79,SELL,O
79,CONC,O
79,1.60,O
79,PRAECIP,O
79,=,O
80,UNDERLYING,O
80,GOVT,O
80,BOND,O
80,7.0,O
80,PCT,O
80,SEPT,O
80,2001,O
81,NOTES,O
81,BAYERISCHE,B-ORG
81,VEREINSBANK,I-ORG
81,IS,O
81,JOINT,O
81,LEAD,O
81,MANAGER,O
82,--,O
82,London,B-ORG
82,Newsroom,I-ORG
82,+44,O
82,171,O
82,542,O
82,7658,O
83,-DOCSTART-,O
84,Venantius,B-ORG
84,sets,O
84,$,O
84,300,O
84,million,O
84,January,O
84,1999,O
84,FRN,O
84,.,O
85,LONDON,B-LOC
85,1996-08-22,O
86,The,O
86,following,O
86,floating-rate,O
86,issue,O
86,was,O
86,announced,O
86,by,O
86,lead,O
86,manager,O
86,Lehman,B-ORG
86,Brothers,I-ORG
86,International,I-ORG
86,.,O
87,BORROWER,O
87,VENANTIUS,B-ORG
87,AB,I-ORG
87,(,O
87,SWEDISH,B-MISC
87,NATIONAL,O
87,MORTGAGE,O
87,AGENCY,O
87,),O
88,AMT,O
88,$,O
88,300,O
88,MLN,O
88,SPREAD,O
88,-,O
88,12.5,O
88,BP,O
88,MATURITY,O
88,21.JAN.99,O
89,TYPE,O
89,FRN,O
89,BASE,O
89,3M,B-ORG
89,LIBOR,O
89,PAY,O
89,DATE,O
89,S23.SEP.96,O
90,LAST,O
90,MOODY,O
90,AA3,O
90,ISS,O
90,PRICE,O
90,99.956,O
90,FULL,O
90,FEES,O
90,10,O
90,BP,O
91,LAST,O
91,S&P,B-ORG
91,AA+,O
91,REOFFER,O
91,=,O
92,NOTES,O
92,S,O
92,SHORT,O
92,FIRST,O
92,COUPON,O
93,LISTING,O
93,LONDON,B-LOC
93,DENOMS,O
93,(,O
93,K,O
93,),O
93,1-10-100,O
93,SALE,O
93,LIMITS,O
93,US,B-LOC
93,/,O
93,UK,B-LOC
93,/,O
93,JP,B-LOC
93,/,O
93,FR,B-LOC
94,NEG,O
94,PLG,O
94,YES,O
94,CRS,O
94,DEFLT,O
94,NO,O
94,FORCE,O
94,MAJ,O
94,IPMA,O
94,2,O
95,GOV,O
95,LAW,O
95,ENGLISH,B-MISC
95,HOME,O
95,CTRY,O
95,SWEDEN,B-LOC
95,TAX,O
95,PROVS,O
95,STANDARD,O
96,MGT,O
96,/,O
96,UND,O
96,5,O
96,BP,O
96,SELL,O
96,CONC,O
96,5,O
96,BP,O
96,PRAECIP,O
96,=,O
97,NOTES,O
97,ISSUED,O
97,OFF,O
97,EMTN,O
97,PROGRAMME,O
98,--,O
98,London,B-ORG
98,Newsroom,I-ORG
98,+44,O
98,171,O
98,542,O
98,8863,O
99,-DOCSTART-,O
100,Port,O
100,conditions,O
100,update,O
100,-,O
100,Syria,B-LOC
100,-,O
100,Lloyds,B-ORG
100,Shipping,I-ORG
100,.,O
101,Port,O
101,conditions,O
101,from,O
101,Lloyds,B-ORG
101,Shipping,I-ORG
101,Intelligence,I-ORG
101,Service,I-ORG
101,--,O
102,LATTAKIA,B-LOC
102,",",O
102,Aug,O
102,10,O
102,-,O
102,waiting,O
102,time,O
102,at,O
102,Lattakia,B-LOC
102,and,O
102,Tartous,B-LOC
102,presently,O
102,24,O
102,hours,O
102,.,O
103,-DOCSTART-,O
104,Israel,B-LOC
104,plays,O
104,down,O
104,fears,O
104,of,O
104,war,O
104,with,O
104,Syria,B-LOC
104,.,O
105,Colleen,B-PER
105,Siegel,I-PER
106,JERUSALEM,B-LOC
106,1996-08-22,O
107,Israel,B-LOC
107,'s,O
107,outgoing,O
107,peace,O
107,negotiator,O
107,with,O
107,Syria,B-LOC
107,said,O
107,on,O
107,Thursday,O
107,current,O
107,tensions,O
107,between,O
107,the,O
107,two,O
107,countries,O
107,appeared,O
107,to,O
107,be,O
107,a,O
107,storm,O
107,in,O
107,a,O
107,teacup,O
107,.,O
108,Itamar,B-PER
108,Rabinovich,I-PER
108,",",O
108,who,O
108,as,O
108,Israel,B-LOC
108,'s,O
108,ambassador,O
108,to,O
108,Washington,B-LOC
108,conducted,O
108,unfruitful,O
108,negotiations,O
108,with,O
108,Syria,B-LOC
108,",",O
108,told,O
108,Israel,B-ORG
108,Radio,I-ORG
108,it,O
108,looked,O
108,like,O
108,Damascus,B-LOC
108,wanted,O
108,to,O
108,talk,O
108,rather,O
108,than,O
108,fight,O
108,.,O
109,"""",O
109,It,O
109,appears,O
109,to,O
109,me,O
109,the,O
109,Syrian,B-MISC
109,priority,O
109,is,O
109,still,O
109,to,O
109,negotiate,O
109,.,O
110,The,O
110,Syrians,B-MISC
110,are,O
110,confused,O
110,",",O
110,they,O
110,are,O
110,definitely,O
110,tense,O
110,",",O
110,but,O
110,the,O
110,general,O
110,assessment,O
110,here,O
110,in,O
110,Washington,B-LOC
110,is,O
110,that,O
110,this,O
110,is,O
110,essentially,O
110,a,O
110,storm,O
110,in,O
110,a,O
110,teacup,O
110,",",O
110,"""",O
110,he,O
110,said,O
110,.,O
111,Rabinovich,B-PER
111,is,O
111,winding,O
111,up,O
111,his,O
111,term,O
111,as,O
111,ambassador,O
111,.,O
112,He,O
112,will,O
112,be,O
112,replaced,O
112,by,O
112,Eliahu,B-PER
112,Ben-Elissar,I-PER
112,",",O
112,a,O
112,former,O
112,Israeli,B-MISC
112,envoy,O
112,to,O
112,Egypt,B-LOC
112,and,O
112,right-wing,O
112,Likud,B-ORG
112,party,O
112,politician,O
112,.,O
113,Israel,B-LOC
113,on,O
113,Wednesday,O
113,sent,O
113,Syria,B-LOC
113,a,O
113,message,O
113,",",O
113,via,O
113,Washington,B-LOC
113,",",O
113,saying,O
113,it,O
113,was,O
113,committed,O
113,to,O
113,peace,O
113,and,O
113,wanted,O
113,to,O
113,open,O
113,negotiations,O
113,without,O
113,preconditions,O
113,.,O
114,But,O
114,it,O
114,slammed,O
114,Damascus,B-LOC
114,for,O
114,creating,O
114,what,O
114,it,O
114,called,O
114,a,O
114,dangerous,O
114,atmosphere,O
114,.,O
115,Syria,B-LOC
115,accused,O
115,Israel,B-LOC
115,on,O
115,Wednesday,O
115,of,O
115,launching,O
115,a,O
115,hysterical,O
115,campaign,O
115,against,O
115,it,O
115,after,O
115,Israeli,B-MISC
115,television,O
115,reported,O
115,that,O
115,Damascus,B-LOC
115,had,O
115,recently,O
115,test,O
115,fired,O
115,a,O
115,missile,O
115,.,O
116,It,O
116,said,O
116,its,O
116,arms,O
116,purchases,O
116,were,O
116,for,O
116,defensive,O
116,purposes,O
116,.,O
117,"""",O
117,The,O
117,message,O
117,that,O
117,we,O
117,sent,O
117,to,O
117,(,O
117,Syrian,B-MISC
117,President,O
117,Hafez,B-PER
117,al-,I-PER
117,),O
117,Assad,B-PER
117,is,O
117,that,O
117,Israel,B-LOC
117,is,O
117,ready,O
117,at,O
117,any,O
117,time,O
117,without,O
117,preconditions,O
117,to,O
117,enter,O
117,peace,O
117,negotiations,O
117,",",O
117,"""",O
117,Israeli,B-MISC
117,Foreign,O
117,Minister,O
117,David,B-PER
117,Levy,I-PER
117,told,O
117,Israel,B-ORG
117,Radio,I-ORG
117,in,O
117,an,O
117,interview,O
117,.,O
118,Tension,O
118,has,O
118,mounted,O
118,since,O
118,Israeli,B-MISC
118,Prime,O
118,Minister,O
118,Benjamin,B-PER
